variant,seed,dataset,data_loading_option,model_type,num_clients,beta,hop,use_pe,fulltraining_flag,repetition,fl_round,avg_client_val_acc,avg_client_val_loss,best_eval_acc_so_far,best_eval_loss_so_far,patience,round_time_s,global_test_acc
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,39,0.6238778923690089,1.1560425162315369,0.6248018054124871,1.1560425162315369,0,0.871,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,40,0.6265498500409665,1.1509276747703552,0.6265498500409665,1.1560425162315369,0,0.869,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,41,0.6298831833742999,1.151544988155365,0.6298831833742999,1.1560425162315369,0,0.879,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,42,0.6313117548028713,1.1484885931015014,0.6313117548028713,1.1560425162315369,0,0.87,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,43,0.6313117548028713,1.147722101211548,0.6313117548028713,1.147722101211548,0,0.894,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,44,0.6309896936112449,1.1450716257095337,0.6313117548028713,1.1450716257095337,0,0.871,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,45,0.6309896936112449,1.1444857835769653,0.6313117548028713,1.1444857835769653,0,0.868,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,46,0.6309896936112449,1.1439424395561217,0.6313117548028713,1.1439424395561217,0,0.866,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,47,0.6309896936112449,1.141684114933014,0.6313117548028713,1.141684114933014,0,0.874,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,48,0.6321311444491683,1.140359103679657,0.6321311444491683,1.141684114933014,0,0.872,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,49,0.6343050574926465,1.140487504005432,0.6343050574926465,1.141684114933014,0,0.871,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,0,0.12576481150427546,1.9522523522377013,0.12576481150427546,,0,5.557,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,1,0.1672632296947521,1.9371400117874145,0.1672632296947521,,0,0.865,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,2,0.21684719603600838,1.909681487083435,0.21684719603600838,,0,0.875,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,3,0.2936212695467414,1.8786965131759643,0.2936212695467414,,0,0.879,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,4,0.3393637732570613,1.841267728805542,0.3393637732570613,,0,0.876,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,5,0.37440703846372836,1.8027727723121643,0.37440703846372836,,0,0.875,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,6,0.4248242675635067,1.7569626092910766,0.4248242675635067,,0,0.865,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,7,0.4469382875864115,1.715725803375244,0.4469382875864115,,0,0.884,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,8,0.4683282464910574,1.675820028781891,0.4683282464910574,,0,0.881,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,9,0.4966640518755677,1.6292972922325135,0.4966640518755677,,0,0.867,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,10,0.5071077661273693,1.5893341302871704,0.5071077661273693,,0,0.88,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,11,0.534912872749161,1.549245285987854,0.534912872749161,,0,0.869,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,12,0.5495341949890312,1.5156551837921142,0.5495341949890312,,0,0.869,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,13,0.5620649872605166,1.4837725400924682,0.5620649872605166,,0,0.886,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,14,0.5618860331660169,1.4584425806999206,0.5620649872605166,1.4584425806999206,0,0.875,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,15,0.5768455852385344,1.4321383595466615,0.5768455852385344,1.4584425806999206,0,0.875,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,16,0.5809388614713454,1.4104078531265258,0.5809388614713454,1.4584425806999206,0,0.864,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,17,0.5910169729023981,1.3908596634864807,0.5910169729023981,1.4584425806999206,0,0.873,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,18,0.5978405099528044,1.3685920476913451,0.5978405099528044,1.4584425806999206,0,0.882,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,19,0.5907025315594459,1.3609060645103455,0.5978405099528044,1.3609060645103455,0,0.87,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,20,0.5926633158731713,1.343507969379425,0.5978405099528044,1.343507969379425,0,0.868,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,21,0.5983943100252181,1.3298937201499939,0.5983943100252181,1.343507969379425,0,0.864,
